Unicode,Description
2049,interrobang
2122,tm
2139,information source
2194,left right arrow
2195,arrow up down
2196,arrow upper left
2197,arrow upper right
2198,arrow lower right
2199,arrow lower left
2328,keyboard
2600,sunny
2601,cloud
2602,umbrella
2603,showman
2604,comet
2611,ballot box with check
2614,umbrella
2615,coffee
2618,shamrock
2620,skull and crossbones
2622,radioactive sign
2623,biohazard sign
2626,orthodox cross
2638,wheel of dharma
2639,white frowning face
2648,aries
2649,taurus
2650,sagittarius
2651,capricorn
2652,aquarius
2653,pisces
2660,spades
2663,clubs
2665,hearts
2666,diamonds
2668,hotsprings
2692,hammer and pick
2693,anchor
2694,crossed swords
2696,scales
2697,alembic
2699,gear
2702,scissors
2705,white check mark
2708,airplane
2709,email
2712,black nib
2714,heavy check mark
2716,heavy multiplication x
2721,star of david
2728,sparkles
2733,eight spoked asterisk
2734,eight pointed black star
2744,snowflake
2747,sparkle
2753,question
2754,grey question
2755,grey exclamation
2757,exclamation
2763,heavy heart exclamation mark ornament
2764,heart
2795,heavy plus sign
2796,heavy minus sign
2797,heavy division sign
2934,arrow heading up
2935,arrow heading down
3030,wavy dash
3297,congratulations
3299,secret
00A9,copyright
00AE,registered
203C,bangbang
21A9,leftwards arrow with hook
21AA,arrow right hook
231A,watch
231B,hourglass
23000000000,fast forward
23EA,rewind
23EB,arrow double up
23EC,arrow double down
23ED,black right pointing double triangle with vertical bar
23EE,black left pointing double triangle with vertical bar
23EF,black right pointing triangle with double vertical bar
23F0,alarm clock
23F1,stopwatch
23F2,timer clock
23F3,hourglass flowing sand
23F8,double vertical bar
23F9,black square for stop
23FA,black circle for record
24C2,m
25AA,black small square
25AB,white small square
25B6,arrow forward
25C0,arrow backward
25FB,white medium square
25FC,black medium square
25FD,white medium small square
25FE,black medium small square
260E,phone
261D,point up
262A,star and crescent
262E,peace symbol
262F,yin yang
263A,relaxed
264A,gemini
264B,cancer
264C,leo
264D,virgo
264E,libra
264F,scorpius
267B,recycle
267F,wheelchair
269B,atom symbol
269C,fleur de lis
26A0,warning
26A1,zap
26AA,white circle
26AB,black circle
26B0,coffin
26B1,funeral urn
26BD,soccer
26BE,baseball
26C4,snowman
26C5,partly sunny
26C8,thunder cloud and rain
26CE,ophiuchus
26CF,pick
26D1,helmet with white cross
26D3,chains
26D4,no entry
26000000000,shinto shrine
26EA,church
26F0,mountain
26F1,umbrella on ground
26F2,fountain
26F3,golf
26F4,ferry
26F5,boat
26F7,skier
26F8,ice skate
26F9,person with ball
26FA,tent
26FD,fuelpump
270A,fist
270B,hand
270C,v
270D,writing hand
270F,pencil2
271D,latin cross
274C,x
274E,negative squared cross mark
27A1,arrow right
27B0,curly loop
27BF,loop
2B05,arrow left
2B06,arrow up
2B07,arrow down
2B1B,black large square
2B1C,white large square
2B50,star
2B55,o
303D,part alternation mark
1F004,mahjong
1F0CF,black joker
1F170,a
1F171,b
1F17E,o2
1F17F,parking
1F18E,ab
1F191,cl
1F192,cool
1F193,free
1F194,id
1F195,new
1F196,ng
1F197,ok
1F198,sos
1F199,up
1F19A,vs
1F201,koko
1F202,sa
1F21A,chinese character
1F22F,chinese character
1F232,chinese character
1F233,chinese character
1F234,chinese character
1F235,chinese character
1F236,chinese character
1F237,chinese character
1F238,chinese character
1F239,chinese character
1F23A,chinese character
1F250,ideograph advantage
1F251,accept
1F300,cyclone
1F301,foggy
1F302,closed umbrella
1F303,night with stars
1F304,sunrise over mountains
1F305,sunrise
1F306,city sunset
1F307,city sunrise
1F308,rainbow
1F309,bridge at night
1F30A,ocean
1F30B,volcano
1F30C,milky way
1F30D,earth africa
1F30E,earth americas
1F30F,earth asia
1F310,globe with meridians
1F311,new moon
1F312,waxing crescent moon
1F313,first quarter moon
1F314,moon
1F315,full moon
1F316,waning gibbous moon
1F317,last quarter moon
1F318,waning crescent moon
1F319,crescent moon
1F31A,new moon with face
1F31B,first quarter moon with face
1F31C,last quarter moon with face
1F31D,full moon with face
1F31E,sun with face
1F31F,star2
1F320,stars
1F321,thermometer
1F324,mostly sunny
1F325,barely sunny
1F326,partly sunny rain
1F327,rain cloud
1F328,snow cloud
1F329,lightning
1F32A,tornado
1F32B,fog
1F32C,wind blowing face
1F32D,hotdog
1F32E,taco
1F32F,burrito
1F330,chestnut
1F331,seedling
1F332,evergreen tree
1F333,deciduous tree
1F334,palm tree
1F335,cactus
1F336,hot pepper
1F337,tulip
1F338,cherry blossom
1F339,rose
1F33A,hibiscus
1F33B,sunflower
1F33C,blossom
1F33D,corn
1F33E,ear of rice
1F33F,herb
1F340,four leaf clover
1F341,maple leaf
1F342,fallen leaf
1F343,leaves
